RC_ID,H3_count,Retail_N,Area_km2
RC_EW_3115,99,207,0.190904342
RC_EW_3118,86,133,0.165830216
RC_EW_3124,165,31,0.31782896
RC_EW_3129,74,155,0.142682995
RC_EW_3130,740,475,1.425866572
RC_EW_3134,54,103,0.104234313
RC_EW_3138,22,91,0.042538868
RC_EW_3142,28,126,0.054106612
RC_EW_3143,16,123,0.030973496
RC_EW_3150,17,119,0.032797931
RC_EW_3162,98,33,0.188918212
RC_EW_3177,97,568,0.187153552
RC_EW_3183,18,136,0.034781774
RC_EW_3189,18,141,0.034825471
RC_EW_319,60,160,0.114924073
RC_EW_3210,27,110,0.052099293
RC_EW_3218,80,230,0.154373858
RC_EW_3229,28,188,0.054114644
RC_EW_3244,40,110,0.077065688
RC_EW_3248,31,185,0.059873409
RC_EW_3251,39,60,0.075103435
RC_EW_3254,206,590,0.396781542
RC_EW_3255,19,128,0.036720083
RC_EW_3265,361,1819,0.695090071
RC_EW_327,50,166,0.095716532
RC_EW_3272,26,188,0.050227493
RC_EW_3273,30,100,0.057845176
RC_EW_3298,79,110,0.152233509
RC_EW_33,48,401,0.100296975
RC_EW_3301,86,526,0.166286934
RC_EW_3305,38,110,0.073505744
RC_EW_3306,347,49,0.670238964
RC_EW_331,193,811,0.369226797
RC_EW_3313,30,193,0.05816064
RC_EW_3314,50,315,0.096782659
RC_EW_3319,22,148,0.042578496
RC_EW_3323,152,978,0.29417726
RC_EW_3333,87,213,0.167985997
RC_EW_3334,33,49,0.063716614
RC_EW_3337,72,294,0.139121091
RC_EW_3344,36,141,0.071454709
RC_EW_3347,22,206,0.043526005
RC_EW_3352,41,269,0.081267192
RC_EW_3360,204,501,0.400950561
RC_EW_3362,28,108,0.055157417
RC_EW_3369,30,128,0.05750024
RC_EW_3375,138,559,0.26380288
RC_EW_3380,17,129,0.032563809
RC_EW_3381,39,155,0.074905391
RC_EW_3390,49,222,0.093742415
RC_EW_3391,38,184,0.072802338
RC_EW_3392,30,112,0.057490317
RC_EW_3396,54,283,0.103268741
RC_EW_3397,65,219,0.124408525
RC_EW_3403,147,614,0.282281961
RC_EW_3405,242,563,0.46504007
RC_EW_3411,81,461,0.156290466
RC_EW_3416,41,225,0.078858248
RC_EW_3417,61,180,0.115124669
RC_EW_3424,34,184,0.06421808
RC_EW_3429,112,410,0.212781351
RC_EW_3432,160,717,0.303499899
RC_EW_3441,25,89,0.049730001
RC_EW_3442,31,136,0.061632325
RC_EW_3447,411,255,0.817110211
RC_EW_3465,18,156,0.035887825
RC_EW_3467,19,85,0.037721967
RC_EW_3470,21,183,0.041803153
RC_EW_3474,49,235,0.097454494
RC_EW_3476,161,1101,0.320264241
RC_EW_3488,11,109,0.021954604
RC_EW_3493,86,167,0.171476115
RC_EW_3496,18,181,0.035888265
RC_EW_3497,9,43,0.017876047
RC_EW_3501,69,241,0.136758141
RC_EW_3503,50,232,0.099226202
RC_EW_3504,36,128,0.071518365
RC_EW_3507,53,194,0.105582628
RC_EW_3508,41,119,0.081637368
RC_EW_351,179,376,0.341531552
RC_EW_3514,38,123,0.07577587
RC_EW_3522,175,953,0.348504807
RC_EW_3523,27,101,0.053876784
RC_EW_3526,65,306,0.129629025
RC_EW_3529,51,269,0.101718448
RC_EW_3532,71,319,0.141596796
RC_EW_3533,11,64,0.02198162
RC_EW_3538,36,141,0.071776774
RC_EW_3543,20,103,0.039908721
RC_EW_3546,56,143,0.111516608
RC_EW_3560,14,158,0.028070818
RC_EW_3565,17,139,0.033995742
RC_EW_3569,11,100,0.022017917
RC_EW_357,202,167,0.383552274
RC_EW_358,75,361,0.142467592
